density,density_level,target_long_fraction_pct,model_key,distserve_variant,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_variant,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis2_all_ttft_p99_ms,distserve_vs_cucumis2_all_ttft_p99_ms_ratio,distserve_short_ttft_p99_ms,cucumis2_short_ttft_p99_ms,distserve_vs_cucumis2_short_ttft_p99_ms_ratio,distserve_long_ttft_p99_ms,cucumis2_long_ttft_p99_ms,distserve_vs_cucumis2_long_ttft_p99_ms_ratio,distserve_all_completion_p99_ms,cucumis2_all_completion_p99_ms,distserve_vs_cucumis2_all_completion_p99_ms_ratio,distserve_short_completion_p99_ms,cucumis2_short_completion_p99_ms,distserve_vs_cucumis2_short_completion_p99_ms_ratio,distserve_long_completion_p99_ms,cucumis2_long_completion_p99_ms,distserve_vs_cucumis2_long_completion_p99_ms_ratio,distserve_round_wall_ms,cucumis2_round_wall_ms,distserve_vs_cucumis2_round_wall_ms_ratio,distserve_throughput_rps,cucumis2_throughput_rps,distserve_vs_cucumis2_throughput_rps_ratio
high_l30,high,30,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,3898.9676760930797,936.867941385717,4.1617046585307795,3901.288355611183,322.4528256856138,12.098787930656483,3767.3190248614774,973.9147525868611,3.8682225675860464,48082.13699250027,8672.665458833508,5.544101432337207,48085.45393665636,8163.4642036719015,5.890324589777422,38009.91304391838,8683.536600373627,4.377238767241785,52330.12656100758,12120.479258496762,4.317496482189253,0.7644255421990347,3.3002064597848033,0.23162961212095823
high_l30,high,30,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,3898.9676760930797,726.7211273536668,5.365149751860185,3901.288355611183,262.87043454445666,14.84110741617615,3767.3190248614774,727.3152698509512,5.1797606636713605,48082.13699250027,8432.20286353695,5.702203536921533,48085.45393665636,7973.147312593064,6.03092506025927,38009.91304391838,8449.501432928664,4.498479980817501,52330.12656100758,12172.889509997587,4.298907545166567,0.7644255421990347,3.286005113777129,0.23263066116180164
high_l50,high,50,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,5308.743313098247,960.371684760612,5.52780074354393,3882.17474953182,455.2650764767893,8.527284323179892,5369.5003319954085,975.6496979566872,5.503512524260302,45903.628297986,8692.582808079023,5.280781248965778,36486.61614500922,8253.382269885624,4.420807730927366,45909.154097985986,8701.563117768674,5.2759663380754045,50137.798607986,12418.753757522465,4.037264896859382,0.7986367722795464,3.221630814116023,0.24789829076013567
high_l50,high,50,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,5308.743313098247,924.4625490304315,5.742518524591409,3882.17474953182,320.9046256035799,12.097596730586085,5369.5003319954085,936.0065500281052,5.7366055096881325,45903.628297986,8598.25147168216,5.338716650608198,36486.61614500922,8055.856975821371,4.529203566364094,45909.154097985986,8603.3870515725,5.336172117188992,50137.798607986,12501.37261449967,4.010583489834857,0.7986367722795464,3.199650758481258,0.249601232310312
high_l70,high,70,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,6327.955385641698,867.7446955561754,7.292416096632933,2327.1445850516175,251.10135455266573,9.267750025472383,6362.935343880117,878.4129156931886,7.243672343841719,42255.771549147474,8730.451410517853,4.84004429578986,31279.489837465546,8327.090526198735,3.756352802825171,42257.81822133377,8737.132639900374,4.83657739477967,46505.93501990328,12558.138344486924,3.703250732248827,0.8601370634592924,3.1851892305073983,0.27004268858534136
high_l70,high,70,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,6327.955385641698,960.1255906606093,6.590757966661196,2327.1445850516175,261.43746779009234,8.90134304284219,6362.935343880117,962.6407613791525,6.609875250622144,42255.771549147474,9260.129545070813,4.563194428704327,31279.489837465546,8770.512960851484,3.566437901304781,42257.81822133377,9269.560419053887,4.558772618221618,46505.93501990328,12933.67987350107,3.5957233729888505,0.8601370634592924,3.094514857879154,0.27795538330321445
high_l90,high,90,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,7907.483718887824,903.5424841797794,8.751645724845028,1007.6667305620281,271.4174651430221,3.7126082878677056,7919.07688226756,903.6364680607221,8.763564953573141,42538.83867532328,9176.945254812017,4.635402903054002,17149.654444635264,8648.713479596481,1.9829139310827772,42539.973429187434,9180.760823190212,4.633600008588968,46747.02606710025,12975.991137001241,3.602578452277173,0.8556871370031991,3.083108259578565,0.2775404121294671
high_l90,high,90,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,7907.483718887824,1029.8964516090928,7.677940541044981,1007.6667305620281,271.64687699405476,3.7094729072997286,7919.07688226756,1030.3744424687466,7.685630151397862,42538.83867532328,9653.656351729005,4.4065002031799505,17149.654444635264,9117.950771498727,1.8808671898341867,42539.973429187434,9655.8786567286,4.405603564575026,46747.02606710025,13547.821375489259,3.450519812113485,0.8556871370031991,2.9525175367198093,0.2898161065467713
mid_l10,mid,10,gemma-7b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,570.6533198886468,593.1634865366505,0.9620506535568542,570.8261285688645,191.38709690741956,2.982573735600329,556.2876800325095,618.3815201933612,0.899586520403398,25957.836839421398,5674.723960732808,4.574290664892415,25961.10793572896,5451.31760143413,4.762354688139823,19847.352205504416,5736.075626214733,3.4600924915980906,31321.131503741075,10748.859246507385,2.9139028417288295,1.2782398212693653,3.7213442845567046,0.34348872975122546
mid_l10,mid,10,gemma-7b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,570.6533198886468,557.6754397663171,1.0232713854635016,570.8261285688645,162.77380916435504,3.506867176601447,556.2876800325095,570.6759390453226,0.9747873389635402,25957.836839421398,5230.778060977173,4.962519253698208,25961.10793572896,5184.021194229717,5.007909297250947,19847.352205504416,5250.934898956912,3.779774951970373,31321.131503741075,10738.950788493134,2.916591398975578,1.2782398212693653,3.7247681982599476,0.3431729850642798
mid_l30,mid,30,gemma-7b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,1670.8607662952454,695.859784730128,2.40114575229153,1621.1338417733334,174.0103348271805,9.31630781231111,1652.1643924024193,699.4989459885983,2.3619254923499904,24590.232950555124,5822.579867161985,4.223253868828558,24617.298912848324,5530.892762429139,4.450872575232599,20043.108436784554,5865.472522856144,3.417134486383158,30002.04198052483,10502.001575498485,2.8567927518236695,1.3332458105693523,3.811031856008929,0.3498385374205669
mid_l30,mid,30,gemma-7b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,1670.8607662952454,582.6765754222288,2.867561245420718,1621.1338417733334,169.04207028419478,9.59012060753794,1652.1643924024193,583.5490195846069,2.831234972476682,24590.232950555124,5591.300195523072,4.397945395642396,24617.298912848324,5205.902639111446,4.728728257017511,20043.108436784554,5595.328824736644,3.5821144859574767,30002.04198052483,10706.34957197621,2.8022662419929714,1.3332458105693523,3.7361014199465545,0.35685482290478737
