density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,arrival_offset_s,prompt_tokens,ttft_mode,first_latency_ms,prefill_ttft_ms,decode_ready_ttft_ms,decode_start_ttft_ms,decode_first_token_ttft_ms,decode_queue_first_token_ttft_ms,finish_latency_ms,scheduled_first_latency_ms,scheduled_finish_latency_ms,prefill_start_ms,prefill_finish_ms,kv_transfer_ms,decode_start_ms,decode_finish_ms,tpot_ms,is_short,dispatcher,replica_id,first_event_index,finish_event_index
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_24,1.471833,192,prefill_finish,245.68917790782461,245.68917790782461,248.9512899078245,363.7322032475215,523.4292315335854,523.4292315335854,10580.708826564325,245.68917790782461,10580.708826564325,1640.9167779536917,1717.5221779078245,3.262112,1835.5652032475214,12052.541826564326,159.64025973932507,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_25,3.07499,102,prefill_finish,125.32961985370139,125.32961985370139,127.11717185370117,8818.259364663521,8977.551826564326,8977.551826564326,18945.988820684415,125.32961985370139,18945.988820684415,3124.2689678372817,3200.3196198537016,1.787552,11893.249364663521,22020.978820684417,158.2457727503265,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_26,2.841104,178,prefill_finish,206.7700168662741,206.7700168662741,209.8027528662742,8733.560440861911,8892.852902762716,8892.852902762716,18907.243724540313,206.7700168662741,18907.243724540313,2971.1695598714987,3047.8740168662744,3.032736,11574.664440861912,21748.347724540312,158.963801307475,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_27,0.27491,99,prefill_finish,166.7454430665598,166.7454430665598,168.4838430665598,245.90939502628896,341.3321476089244,341.3321476089244,10024.597702408906,166.7454430665598,10024.597702408906,364.1310710393042,441.65544306655977,1.7384000000000002,520.8193950262889,10299.507702408906,152.7920048028534,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_28,4.280129,181,prefill_finish,76.49684202624485,76.49684202624485,79.57873002624456,16545.913526946424,16705.431721498826,16705.431721498826,23951.92703395249,76.49684202624485,23951.92703395249,4280.129,4356.625842026245,3.081888,20826.042526946425,28232.05603395249,115.71896104696975,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_29,0.40374,102,prefill_finish,114.91430311794954,114.91430311794954,116.70185511794955,117.07939502628892,212.50214760892436,212.50214760892436,9895.767702408906,114.91430311794954,9895.767702408906,441.65544306655977,518.6543031179496,1.787552,520.8193950262889,10299.507702408906,152.7920048028534,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_30,2.045993,124,prefill_finish,464.0969749130011,464.0969749130011,466.2449749130012,8253.514702408906,8413.21173069497,8413.21173069497,18461.013137841623,464.0969749130011,18461.013137841623,2432.59667192325,2510.0899749130012,2.148,10299.507702408906,20507.00613784162,159.49216305363618,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_31,2.544356,88,prefill_finish,195.66452186261859,195.66452186261859,197.2226978626186,8552.748532795553,8711.913091988785,8711.913091988785,18760.24111060363,195.66452186261859,18760.24111060363,2663.96736889584,2740.020521862619,1.558176,11097.104532795553,21304.59711060363,159.49207152825122,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_32,1.582274,97,prefill_finish,212.44786387721456,212.44786387721456,214.15349587721448,253.29120324752148,412.98823153358535,412.98823153358535,10470.267826564326,212.44786387721456,10470.267826564326,1717.5221779078245,1794.7218638772144,1.705632,1835.5652032475214,12052.541826564326,159.64025973932507,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_33,1.052165,204,prefill_finish,76.98933099163696,76.98933099163696,80.44805099163705,106.86551978110538,231.71956007748258,231.71956007748258,10204.104091988786,76.98933099163696,10204.104091988786,1052.165,1129.154330991637,3.45872,1159.0305197811053,11256.269091988785,157.769352690745,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_a,1.952273,1818,prefill_finish,403.8354900327961,403.8354900327961,433.73798603279624,8061.2109737825185,8221.280663336776,8221.280663336776,18300.615348082436,403.8354900327961,18300.615348082436,2139.049603026081,2356.108490032796,29.902496000000003,10013.483973782519,20252.888348082437,159.99069334843622,False,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_b,1.631435,2798,prefill_finish,430.3032750540974,430.3032750540974,476.26209105409725,7741.84394052151,7901.839905119748,7901.839905119748,17986.23034703793,430.3032750540974,17986.23034703793,1793.8490691056475,2061.7382750540974,45.958816,9373.27894052151,19617.66534703793,160.0685376018191,False,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_extra_00,1.339675,2169,prefill_finish,221.0059550125152,221.0059550125152,256.6592350125152,365.4337099586826,513.7936044043215,513.7936044043215,10594.645248433602,221.0059550125152,10594.645248433602,1339.675,1560.6809550125151,35.65328,1705.1087099586825,11934.320248433602,159.83143028867062,False,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_extra_01,0.67477,2176,prefill_finish,238.35364599797128,238.35364599797128,274.1216139979713,381.62779895128097,500.89751801542207,500.89751801542207,10459.201800662317,238.35364599797128,10459.201800662317,690.7869169990457,913.1236459979713,35.767968,1056.397798951281,11133.971800662317,157.46209377673495,False,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,mid_b,4.307758,97,prefill_finish,126.75920898998538,126.75920898998538,128.46484098998553,17058.783689115095,17212.091811387123,17212.091811387123,24184.118959308704,126.75920898998538,24184.118959308704,4357.6668179969265,4434.517208989985,1.705632,21366.541689115096,28491.876959308705,111.33336359677514,True,,,,
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_a,0.753789,88,prefill_finish,235.61531798472254,235.61531798472254,237.17349398472254,302.60879895128096,421.87851801542206,421.87851801542206,10380.182800662316,235.61531798472254,10380.182800662316,913.1236459979713,989.4043179847225,1.558176,1056.397798951281,11133.971800662317,157.46209377673495,True,,,,
