density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_24,77.29712902801111,4630.269992980175,0.9598609758540988,78.25699000386521,4707.567122008186
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_25,76.94277004338801,4615.004550956655,0.10672095231711864,77.04949099570513,4691.947321000043
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_26,77.24879099987447,4603.359077009372,1.5671709552407265,78.8159619551152,4680.607868009247
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_27,76.16676896577701,4599.875019048341,1.482541032601148,77.64930999837816,4676.041788014118
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_28,77.5378179969266,947.5460510002449,14.805407046878827,77.46149302693084,1025.0838689971715
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_29,76.13963901530951,4639.413386001252,1.6089699929580092,77.74860900826752,4715.553025016561
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_30,78.69818899780512,4598.901629971806,71.85783796830947,78.10773799428716,4677.599818969611
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_31,75.867947016377,4595.964875945356,1.1900699464604259,77.05801696283743,4671.832822961733
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_32,77.76813401142135,4610.879717976786,72.04499559338728,77.22582900896668,4688.647851988208
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_33,76.95106801111251,4616.688748006709,1.8489659996703267,78.80003401078284,4693.639816017821
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_a,327.0559749798849,2152.4575329967774,11.044344981200993,338.1003199610859,2479.5135079766624
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_b,362.05036100000143,8435.307772015221,8.822103030979633,370.87246403098106,8797.358133015223
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_00,331.03706198744476,1475.9696699911729,8.130980015266687,339.16804200271145,1807.0067319786176
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_01,337.3642729711719,8410.366586060263,8.17052205093205,345.53479502210394,8747.730859031435
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,mid_b,141.30566199310124,8402.79385598842,1.7139179981313646,143.0195799912326,8544.099517981522
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_a,141.1538829561323,8397.985863033682,1.9623500411398709,143.11623299727216,8539.139745989814
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_00,141.45430899225175,8420.35313800443,1.7599260318093002,143.21423502406105,8561.807446996681
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_01,141.94254897302017,8486.465024063364,1.4490850153379142,143.39163398835808,8628.407573036384
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_02,141.37894997838885,8418.353643035516,3.3915130188688636,144.7704629972577,8559.732593013905
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_03,141.2675699684769,8387.373932055198,2.4479610146954656,143.71553098317236,8528.641502023675
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_04,143.8707130146213,8690.225170983467,135.78476829661668,143.52628699271008,8834.095883998089
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_05,143.7435140251182,8430.412495974451,0.15547696966677904,143.89899099478498,8574.15600999957
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_06,142.0715120038949,8401.384835015051,1.0303170420229435,143.10182904591784,8543.456347018946
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_07,142.46946398634464,8438.667933980469,3.2384379883296788,145.70790197467431,8581.137397966813
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_08,141.44635200500488,8424.232835997827,3.4554090234450996,144.90176102844998,8565.679188002832
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_09,141.48320199456066,8389.031152997632,0.7026299717836082,142.18583196634427,8530.514354992192
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_10,144.04795097652823,8401.52598102577,0.1405969960615039,144.18854797258973,8545.573932002299
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_11,142.28169299894944,8405.702812015079,1.5665270038880408,143.84822000283748,8547.984505014028
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_12,143.11836700653657,8418.671620020177,2.708036976400763,145.82640398293734,8561.789987026714
